Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Assemblies,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,REACH Status,Unit of Measure,Image,Product Notes
1,TLC59108IPWR,Texas Instruments,IC LED DRVR LINEAR 120MA 20TSSOP,"1,777",In Stock,5,,1,5,Cut Tape (CT),296-25340-1-ND,1.74000,$8.70,1,,296-25340-2-ND,6,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftlc59108,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8542.39.0060,Malaysia,,296-25340-2-ND,REACH Unaffected,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6222/296%7E4040064-5%7EPW%7E20.jpg,
2,GW VJLPL1.EM-LXL3-XX53-1-350-R18,ams-OSRAM USA INC.,LED OSLON PURE 1414 WHT 5000K,"3,126",In Stock,5,,10,50,Cut Tape (CT),475-GWVJLPL1.EM-LXL3-XX53-1-350-R18CT-ND,0.91700,$45.85,1,,475-GWVJLPL1.EM-LXL3-XX53-1-350-R18TR-ND,8,https://look.ams-osram.com/m/182058bbba5b3856/original/GW-VJLPL1-EM.pdf,,	-,,Active,ROHS3 Compliant,2  (1 Year),EAR99,8541.41.0000,China,,475-GWVJLPL1.EM-LXL3-XX53-1-350-R18TR-ND,REACH Unaffected,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/001/180/516/MFG_475_Gx-VJLPL1.xx_web%28640x640%29.jpg,
3,GR VJLPL1.23-KQKS-A4R2-1-350-R18,ams-OSRAM USA INC.,LED OSLON PURE 1414 RED 620NM,749,In Stock,5,,10,50,Cut Tape (CT),475-GRVJLPL1.23-KQKS-A4R2-1-350-R18CT-ND,1.05000,$52.50,1,,475-GRVJLPL1.23-KQKS-A4R2-1-350-R18TR-ND,8,https://look.ams-osram.com/m/4927df01e4ea37b5/original/GR-VJLPL1-23.pdf,,	-,,Active,ROHS3 Compliant,2  (1 Year),EAR99,8541.41.0000,China,,475-GRVJLPL1.23-KQKS-A4R2-1-350-R18TR-ND,REACH Unaffected,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/001/180/728/MFG_GR-VJLPL1.23_web%28640x640%29.jpg,
4,SFH11-PBPC-D05-ST-BK,Sullins Connector Solutions,CONN HDR 10POS 0.1 GOLD PCB,"30,466",In Stock,5,,1,5,Tray,S9194-ND,0.53000,$2.65,1,,S9194-ND,11,https://s3.amazonaws.com/catalogspreads-pdf/PAGE123%20.100%20SFH11%20SERIES%20FEMALE%20HDR%20ST%20RA.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.69.4040,Taiwan,https://www.sullinscorp.com/wp-content/uploads/2019/03/Sullins-RoHS-Compliant-Statement.pdf|https://www.sullinscorp.com/wp-content/uploads/2025/02/Sullins-REACH-247-SVHC-Compliant-Statement.pdf,S9194-ND,REACH Unaffected,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/870/SFH11-xxPC-D05-ST-BK.jpg,
5,SBH11-PBPC-D05-RA-BK,Sullins Connector Solutions,CONN HEADER R/A 10POS 2.54MM,"18,911",In Stock,5,,1,5,Tray,S9177-ND,0.48000,$2.40,1,,S9177-ND,11,https://s3.amazonaws.com/catalogspreads-pdf/PAGE122%20.100%20SBH11%20SERIES%20MALE%20BOX%20HDR%20ST%20RA%20SMT.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.69.4040,Taiwan,https://www.sullinscorp.com/wp-content/uploads/2019/03/Sullins-RoHS-Compliant-Statement.pdf|https://www.sullinscorp.com/wp-content/uploads/2025/02/Sullins-REACH-247-SVHC-Compliant-Statement.pdf,S9177-ND,REACH Unaffected,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/641/SBH11-PBPC-D05-RA-BK.JPG,
6,RC0603FR-07187RL,YAGEO,RES 187 OHM 1% 1/10W 0603,"454,955",In Stock,5,,2,10,Cut Tape (CT),311-187HRCT-ND,0.00800,$0.08,1,,311-187HRTR-ND,18,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-187HRTR-ND,REACH Unaffected,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-%281608-metric%29.jpg,
7,RC0603FR-07374RL,YAGEO,RES 374 OHM 1% 1/10W 0603,"218,960",In Stock,5,,2,10,Cut Tape (CT),311-374HRCT-ND,0.00900,$0.09,1,,311-374HRTR-ND,18,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-374HRTR-ND,REACH Unaffected,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-%281608-metric%29.jpg,
