Ref,Val,Package,PosX,PosY,Rot,Side
"BAT1","1043","1043",142.000000,-53.380000,90.000000,bottom
"D4","MP-3014-1100-50-70","LED_MP-3014-1100-50-70",137.500000,-134.500000,90.000000,bottom
"D5","MP-3014-1100-50-70","LED_MP-3014-1100-50-70",140.500000,-134.500000,90.000000,bottom
"D6","MP-3014-1100-50-70","LED_MP-3014-1100-50-70",143.500000,-134.500000,90.000000,bottom
"D7","MP-3014-1100-50-70","LED_MP-3014-1100-50-70",146.500000,-134.500000,90.000000,bottom
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",157.500000,-79.960000,-90.000000,bottom
"J3","Conn_ARM_JTAG_SWD_20","IDC-Header_2x10_P2.54mm_Vertical",126.000000,-100.640000,180.000000,bottom
"S1","1825910-6","18259106",162.000000,-86.500000,180.000000,bottom
